index,lat,lon,x,y,prob,prediction,shape
0,23.7962871338,90.3167152358,1043,518,0.564437508583,zigzag,zigzag
1,23.9402024291,90.0430256967,78,149,0.692852854729,zigzag,zigzag
2,25.0212533667,89.3091242624,636,327,0.499505281448,fck,fck
3,25.3081839404,89.5506027759,97,85,0.342437326908,fck,zigzag
4,22.5616701121,92.0071506484,145,175,0.922128021717,zigzag,zigzag
5,23.5652957065,90.8706419789,108,222,0.609472155571,zigzag,zigzag
6,22.8294765411,89.4643551943,215,219,0.52217489481,zigzag,None
7,25.2942909592,89.4214275898,229,78,0.89940994978,zigzag,zigzag
8,24.4886070333,91.6650050022,93,47,0.99955290556,zigzag,zigzag
9,25.0183169178,88.9836420312,9,214,0.485367923975,fck,None
10,22.5542129964,89.9581146225,358,168,0.96383446455,zigzag,zigzag
11,23.5453220106,91.1305250427,93,137,0.962790548801,zigzag,zigzag
12,24.5873042838,90.465349469,204,96,0.999993085861,zigzag,zigzag
13,23.7522648792,88.7628609782,36,128,0.0668824166059,fck,fck
14,25.6820566154,89.2158876137,139,115,0.994178175926,zigzag,zigzag
15,24.0712191306,90.9084320053,29,168,0.859384953976,zigzag,zigzag
16,22.5766187055,92.0185293451,169,207,0.00157372339163,fck,fck
17,25.2651829112,89.3616649071,167,132,0.49886533618,fck,fck
18,24.2840867743,90.5510207572,39,139,0.585159540176,zigzag,fck
19,23.2082317424,90.7086426871,27,2,0.944615423679,zigzag,fck
20,21.9902328897,92.123058862,108,220,2.17818615056e-06,fck,fck
21,23.6622552118,90.9854098693,214,398,0.567670762539,zigzag,zigzag
22,22.9092027974,88.9244065959,101,87,0.815882444382,zigzag,zigzag
23,25.9724353232,89.6368503554,38,175,0.790194809437,zigzag,zigzag
24,25.8230270677,88.4461579999,142,59,0.998488545418,zigzag,zigzag
25,24.9870363346,88.9922986709,135,24,0.560176610947,zigzag,zigzag
26,24.3010283194,88.9972891108,91,207,0.569319248199,zigzag,zigzag
27,22.8689867176,89.0121746057,77,77,0.559956073761,zigzag,zigzag
28,24.0247063693,90.1929228642,151,54,0.986757934093,zigzag,zigzag
29,23.7738248202,90.3241089412,131,1,0.479095071554,fck,None
30,23.7694134148,90.5520752498,76,1,0.594050943851,zigzag,None
31,23.7414587855,88.9112990231,103,138,0.860399007797,zigzag,zigzag
32,23.2509479803,90.3432982289,44,222,0.975287616253,zigzag,zigzag
33,23.8147844316,90.0775541552,64,277,0.619786918163,zigzag,zigzag
34,24.0875742837,90.6448459609,136,175,0.88081240654,zigzag,zigzag
35,22.839724819,89.5559488017,204,73,0.356009572744,fck,zigzag
36,22.7599563197,89.0975638789,92,97,0.0974825322628,fck,fck
37,24.1104634088,90.6764316553,107,63,0.258864313364,fck,fck
38,23.9664580238,90.3462409932,199,462,0.437077581882,fck,zigzag
39,23.9086651669,90.6886686582,204,165,0.950958251953,zigzag,zigzag
40,24.0352441588,90.3350584808,106,446,0.999997615814,zigzag,zigzag
41,24.3100108885,90.7168946927,183,227,0.851467609406,zigzag,zigzag
42,22.5748326131,92.0647675635,102,170,0.205539345741,fck,fck
43,24.1376898252,90.8514404297,138,0,0.628710508347,zigzag,zigzag
44,23.9161000136,90.0977979334,437,584,0.474066674709,fck,zigzag
45,24.2970027048,91.5216309663,227,226,0.89561098814,zigzag,zigzag
46,23.2835144753,90.3259849534,65,154,0.986341416836,zigzag,zigzag
47,25.0262906748,89.297586168,186,58,0.510496020317,zigzag,fck
48,22.4323565154,90.7393455501,136,42,0.984477996826,zigzag,zigzag
